,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
5,3.6,HF,cbs,-7.393272319826237,-7.415356611671341,-7.415356611671341,-0.022084291845104076,-0.022084291845104076
6,3.65,HF,cbs,-7.393261291577749,-7.4154568751192045,-7.4154568751192045,-0.02219558354145512,-0.02219558354145512
0,3.35,CCSD,cbs,-7.436294119334786,-7.486153839889076,-7.486878678508871,-0.049859720554290554,-0.05058455917408544
1,3.4,CCSD,cbs,-7.436295249094804,-7.486447163788333,-7.487172002408128,-0.05015191469352942,-0.05087675331332431
2,3.45,CCSD,cbs,-7.436295543217494,-7.486608550541357,-7.487333389161152,-0.05031300732386246,-0.051037845943657345
3,3.5,CCSD,cbs,-7.436294767986908,-7.486638888115012,-7.487363726734807,-0.05034412012810385,-0.05106895874789874
4,3.55,CCSD,cbs,-7.436292624486607,-7.4865529390180665,-7.487277777637861,-0.050260314531459294,-0.05098515315125418
5,3.6,CCSD,cbs,-7.436288744581367,-7.48636810499101,-7.487092943610805,-0.05007936040964367,-0.05080419902943856
6,3.65,CCSD,cbs,-7.436282686075468,-7.486092274767079,-7.4868171133868735,-0.049809588691610784,-0.05053442731140567
0,3.35,CCSD+(T),cbs,-7.436326672808548,-7.489192306216239,-7.489917144836034,-0.05286563340769135,-0.053590472027486236
1,3.4,CCSD+(T),cbs,-7.4363278036978615,-7.4894730882841305,-7.490197926903925,-0.05314528458626899,-0.05387012320606388
2,3.45,CCSD+(T),cbs,-7.436328100804944,-7.489622717607951,-7.4903475562277455,-0.05329461680300618,-0.054019455422801066
3,3.5,CCSD+(T),cbs,-7.436327330741382,-7.489642009561845,-7.4903668481816394,-0.05331467882046237,-0.054039517440257256
4,3.55,CCSD+(T),cbs,-7.436325194895902,-7.489545637486497,-7.490270476106292,-0.053220442590594885,-0.05394528121038977
5,3.6,CCSD+(T),cbs,-7.436321325425378,-7.489350947074681,-7.490075785694476,-0.05302962164930314,-0.053754460269098026
6,3.65,CCSD+(T),cbs,-7.436315280421362,-7.4890657715244044,-7.489790610144199,-0.05275049110304231,-0.053475329722837195
0,3.35,CCSD-SAC,cbs,-7.436294119334786,-7.500132982641744,-7.500996449402938,-0.06383886330695798,-0.06470233006815196
1,3.4,CCSD-SAC,cbs,-7.436295249094804,-7.500519588347943,-7.50138483252985,-0.06422433925313964,-0.06508958343504645
2,3.45,CCSD-SAC,cbs,-7.436295543217494,-7.500773230134242,-7.501640239787742,-0.0644776869167476,-0.06534469657024733
3,3.5,CCSD-SAC,cbs,-7.436294767986908,-7.5008958253795575,-7.501764588642281,-0.06460105739264943,-0.06546982065537321
4,3.55,CCSD-SAC,cbs,-7.436292624486607,-7.500901747081858,-7.501772252181079,-0.0646091225952512,-0.06547962769447135
5,3.6,CCSD-SAC,cbs,-7.436288744581367,-7.500808360931294,-7.501680596186421,-0.06451961634992731,-0.06539185160505401
6,3.65,CCSD-SAC,cbs,-7.436282686075468,-7.500623526008863,-7.50149747983359,-0.06434083993339534,-0.06521479375812245
