,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
5,3.6,HF,cbs,-7.393272319826237,-7.415356611671341,-7.415356611671341,-0.022084291845104076,-0.022084291845104076
6,3.65,HF,cbs,-7.393261291577749,-7.4154568751192045,-7.4154568751192045,-0.02219558354145512,-0.02219558354145512
0,3.35,CCSD,cbs,-7.393301721664726,-7.441877929637119,-7.442960642658135,-0.048576207972392815,-0.04965892099340863
1,3.4,CCSD,cbs,-7.39329817008965,-7.442283787225549,-7.443366500246565,-0.04898561713589977,-0.050068330156915586
2,3.45,CCSD,cbs,-7.393293722560504,-7.442555021802853,-7.443637734823869,-0.049261299242349565,-0.05034401226336538
3,3.5,CCSD,cbs,-7.393288139376272,-7.442687423687787,-7.443770136708803,-0.04939928431151497,-0.05048199733253078
4,3.55,CCSD,cbs,-7.39328112503219,-7.4426979658339505,-7.443780678854966,-0.049416840801760564,-0.05049955382277638
5,3.6,CCSD,cbs,-7.393272319826237,-7.442604391888374,-7.44368710490939,-0.0493320720621373,-0.05041478508315311
6,3.65,CCSD,cbs,-7.393261291577749,-7.442414903358288,-7.443497616379304,-0.049153611780538675,-0.05023632480155449
0,3.35,CCSD+(T),cbs,-7.393301721664726,-7.444687556564898,-7.445770269585914,-0.0513858349001719,-0.052468547921187714
1,3.4,CCSD+(T),cbs,-7.39329817008965,-7.445088445721488,-7.446171158742504,-0.05179027563183869,-0.0528729886528545
2,3.45,CCSD+(T),cbs,-7.393293722560504,-7.445355060698035,-7.446437773719051,-0.05206133813753144,-0.053144051158547256
3,3.5,CCSD+(T),cbs,-7.393288139376272,-7.445483144661737,-7.446565857682753,-0.052195005285464724,-0.05327771830648054
4,3.55,CCSD+(T),cbs,-7.39328112503219,-7.445489604058337,-7.446572317079353,-0.052208479026147,-0.053291192047162816
5,3.6,CCSD+(T),cbs,-7.393272319826237,-7.445392147558359,-7.446474860579375,-0.052119827732122204,-0.05320254075313802
6,3.65,CCSD+(T),cbs,-7.393261291577749,-7.445198940107684,-7.4462816531286995,-0.05193764852993432,-0.053020361550950135
0,3.35,CCSD-SAC,cbs,-7.393301721664726,-7.447389136245977,-7.448678922248031,-0.0540874145812511,-0.05537720058330464
1,3.4,CCSD-SAC,cbs,-7.39329817008965,-7.447801502444711,-7.449093943432988,-0.05450333235506122,-0.05579577334333852
2,3.45,CCSD-SAC,cbs,-7.393293722560504,-7.448078970137694,-7.449374048263438,-0.05478524757719061,-0.05608032570293453
3,3.5,CCSD-SAC,cbs,-7.393288139376272,-7.448217316543894,-7.449515014087932,-0.05492917716762147,-0.056226874711659214
4,3.55,CCSD-SAC,cbs,-7.39328112503219,-7.4482335023989945,-7.449533801776052,-0.05495237736680458,-0.05625267674386247
5,3.6,CCSD-SAC,cbs,-7.393272319826237,-7.448145254384638,-7.449448138147072,-0.05487293455840092,-0.056175818320834736
6,3.65,CCSD-SAC,cbs,-7.393261291577749,-7.447960761147416,-7.449266211988414,-0.05469946956966698,-0.05600492041066474
